CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100)
30508,Female,44,93566,47
45202,Male,35,42228,15
31163,Male,36,49200,12
5854,Male,49,112901,34
42912,Male,24,125895,7
4836,Male,35,267362,92
46349,Female,27,15000,74
4864,Female,36,66217,40
21794,Male,32,35120,70
20796,Male,38,83494,50
11967,Female,43,61488,55
36681,Female,50,141935,13
46370,Female,45,72351,52
21155,Male,54,215551,92
4276,Female,41,34980,82
17562,Male,38,235147,90
41947,Male,22,76654,47
16905,Female,18,73518,45
22241,Male,25,82980,54
22480,Male,34,75590,58
47812,Male,38,90087,40
25783,Male,33,80337,52
11974,Female,18,54567,59
26635,Female,18,81479,54
10601,Male,48,24862,75
21359,Female,18,255680,88
20123,Male,50,24309,68
10622,Female,48,42721,37
47882,Male,18,174208,87
3125,Female,36,26114,89
44675,Female,54,33568,32
10073,Male,37,38983,16
21029,Female,38,76713,41
6983,Male,39,80903,47
33025,Male,26,29391,89
47564,Female,34,72975,49
26339,Female,26,110180,96
7563,Female,34,48487,45
18983,Male,39,28064,18
44676,Female,34,83071,43
18793,Female,28,153545,10
38379,Male,30,66462,55
28991,Female,32,55990,54
37185,Male,18,87909,23
35114,Female,44,22675,75
11794,Male,34,264582,79
31444,Female,40,46864,24
645,Male,34,36057,75
42299,Female,48,43147,15
46019,Female,44,113541,21
23914,Male,37,22662,18
15696,Male,27,51667,91
35375,Female,46,63257,41
23143,Female,48,84351,51
35962,Male,37,59320,47
5545,Male,32,52533,34
21536,Male,48,121493,73
15898,Female,30,24890,97
15722,Female,22,28982,70
26037,Female,27,33091,66
21680,Male,40,47367,52
1306,Female,48,67112,50
31726,Male,22,74197,59
24534,Male,24,160952,83
9457,Male,42,25553,29
40781,Male,32,19687,23
47412,Female,46,57432,56
48200,Female,48,19972,30
12618,Female,47,186973,71
34210,Female,53,28670,24
8678,Male,18,48934,25
31461,Male,58,26573,25
34235,Female,35,61843,54
23186,Female,37,74039,46
46137,Male,18,60166,58
34676,Female,38,16612,25
39582,Female,34,56952,40
38677,Female,26,86191,10
12300,Female,20,72486,54
16066,Female,26,130091,84
9555,Female,27,107995,27
44233,Female,41,30310,94
25293,Male,26,85711,53
33855,Female,18,61558,55
8758,Female,21,45695,23
47611,Female,57,39405,5
8287,Female,36,74112,42
26087,Male,50,116270,27
26971,Male,18,122401,32
19407,Female,21,71720,41
8135,Male,51,53383,54
36957,Male,39,149980,8
35306,Male,19,60934,47
16311,Male,39,88329,43
16478,Male,30,117409,29
45779,Female,47,110200,75
15491,Female,29,34615,25
45391,Male,18,43590,39
28021,Female,26,70278,40
2826,Male,35,289527,95
45058,Male,49,143447,87
17280,Male,60,25822,12
5199,Male,26,48722,89
25827,Male,29,31049,75
42630,Female,27,62715,56
3481,Male,41,64279,43
25592,Male,29,55104,53
7980,Female,44,15000,19
26365,Female,35,58906,43
17691,Male,30,32250,37
11528,Female,48,86502,53
14267,Female,31,66796,53
46638,Male,33,46368,78
1247,Male,22,46255,61
1866,Male,47,69399,49
31356,Male,41,97715,5
10823,Female,36,39336,67
27490,Female,23,102107,8
1301,Female,39,87681,54
16785,Female,49,219784,82
35291,Male,31,163994,86
44556,Male,29,190661,77
37977,Female,54,44636,86
34117,Male,29,41804,15
3570,Male,41,58459,43
35394,Male,43,48665,55
43225,Male,39,200606,92
13731,Female,18,28151,76
28803,Female,71,24894,16
4723,Male,32,17056,23
5410,Female,31,51695,82
14145,Male,42,18802,64
43078,Female,40,67728,54
192,Female,52,120172,80
13792,Female,26,55504,41
27590,Female,40,70861,44
27325,Female,33,29812,62
27803,Female,53,97709,32
12143,Female,65,24851,16
37701,Male,28,175277,20
634,Female,41,84757,59
23137,Female,34,45469,84
47767,Female,27,140109,6
33404,Male,18,42255,55
48949,Female,35,91582,44
25706,Female,37,255395,71
48093,Female,41,18519,16
22245,Female,26,64298,45
27747,Male,61,191533,80
37863,Male,18,71783,48
47555,Male,39,62133,55
20532,Male,41,47459,16
31086,Male,54,75828,57
20230,Male,47,49192,55
49883,Female,43,85702,42
34856,Female,50,24806,90
44740,Female,23,50222,76
28375,Female,61,99086,33
101,Female,47,73893,52
21098,Female,31,49863,50
33049,Male,52,32271,18
12502,Female,28,62818,54
43420,Female,56,46569,49
30574,Female,29,72243,40
12834,Male,37,136385,91
38943,Male,42,150066,8
24032,Female,55,185618,93
28170,Male,28,52024,49
48117,Male,40,60478,55
27286,Female,32,79382,50
38045,Female,18,70443,50
5503,Male,18,64793,51
48229,Male,27,67506,49
14826,Female,33,108365,11
42708,Male,26,15000,38
32322,Male,58,60024,52
18226,Female,19,79656,58
37348,Male,50,82491,50
15517,Male,34,57281,43
8986,Female,37,54478,45
28228,Male,29,131598,16
44790,Female,41,29324,68
31568,Female,33,61618,48
33844,Female,40,53088,43
13917,Female,22,59964,48
38369,Female,27,75116,50
1003,Female,27,22183,7
44228,Male,26,170839,12
7900,Female,39,138862,11
24885,Female,28,274401,80
9678,Female,20,143278,25
42411,Female,26,30258,68
21061,Female,18,88284,59
12696,Male,18,89433,55
29638,Male,28,27871,60
4797,Male,41,150787,12
37016,Male,19,85072,59
15580,Female,48,78751,44
36054,Female,18,152103,7
49670,Male,18,61051,47
35234,Male,29,41860,35
35622,Male,18,84610,47
21834,Male,43,81219,56
40848,Male,18,273168,78
13533,Male,21,21184,67
874,Female,32,27596,29
41290,Female,43,66093,51
42688,Male,47,110118,82
18837,Male,31,18429,27
33425,Male,19,41640,7
10501,Male,29,52260,46
23385,Male,53,25424,67
3929,Female,29,33860,18
48932,Male,41,65991,41
20756,Male,34,221387,88
29488,Male,33,253612,92
47712,Male,43,63941,43
38436,Male,20,94248,41
1766,Male,39,62578,59
33163,Female,19,29774,84
8435,Female,39,36929,79
29958,Female,39,30620,74
16530,Female,67,108844,20
651,Female,46,46269,19
2609,Male,18,33225,81
27441,Male,28,52377,53
47795,Male,51,72920,56
30597,Female,32,147153,18
2573,Female,22,17985,69
21926,Male,33,78259,49
38712,Female,66,56399,59
4656,Female,37,35844,88
16150,Female,21,71386,42
3624,Male,18,292575,80
49638,Female,24,46444,88
37446,Female,18,88860,57
31580,Female,34,39468,39
29857,Male,38,77631,43
29947,Male,39,112075,31
528,Male,49,135482,70
20474,Female,32,107078,32
17455,Male,33,65852,49
4435,Male,27,91053,50
15115,Female,36,205063,94
42073,Male,24,88506,40
20569,Female,21,150933,8
9247,Male,46,92817,49
9746,Female,47,56393,53
10342,Male,23,83608,51
43447,Female,35,132513,24
45705,Male,44,80376,55
7607,Male,41,34665,8
35825,Female,40,55507,28
6760,Male,34,64256,56
5092,Male,35,74982,41
37896,Female,46,79652,51
40069,Female,20,82622,43
20441,Female,49,33137,26
35656,Female,35,94842,57
25777,Male,39,163331,28
987,Male,38,171965,83
38671,Female,32,83799,49
11521,Female,39,44043,5
27661,Male,48,131165,27
48441,Female,42,34098,38
37998,Male,30,100152,53
26102,Female,38,22943,78
21629,Male,25,216584,75
30394,Male,51,90272,77
43695,Female,23,183084,76
34017,Female,34,52821,52
47927,Female,54,53940,45
6323,Female,35,35180,90
33917,Male,27,18838,83
24272,Female,43,156300,78
997,Female,41,89032,50
21811,Female,32,70118,58
10808,Male,37,51460,41
17673,Female,29,19743,63
27695,Female,45,74994,42
40282,Male,33,53736,44
38055,Male,44,26457,18
33419,Male,39,66141,55
28321,Female,23,96076,54
30104,Male,38,51959,86
18706,Female,37,75289,45
31900,Female,24,49390,55
14268,Female,19,32543,70
9641,Female,54,24586,97
6379,Female,26,34250,21
20994,Male,42,82674,55
3254,Female,49,29167,92
43413,Female,38,214055,76
49205,Female,24,222947,95
31015,Female,36,153878,33
24937,Male,53,88202,40
6642,Male,28,41094,72
46820,Male,55,80615,54
43364,Male,32,59643,42
17742,Female,39,127130,92
8349,Male,44,48575,41
15316,Female,18,35835,17
49225,Male,31,83340,45
19980,Female,48,57820,53
27738,Male,25,31723,17
19367,Male,23,84712,52
46773,Female,32,19234,19
33993,Male,18,91109,48
10398,Male,42,84140,49
12997,Female,59,68945,47
20548,Female,26,48940,51
21976,Male,46,37796,25
10731,Female,52,52407,49
400,Female,25,38942,70
44578,Male,46,39960,54
26713,Male,28,33923,74
33603,Female,30,153173,30
26777,Female,18,30437,29
82,Male,32,64880,59
2760,Female,52,144014,21
32521,Female,25,86317,59
20421,Female,50,15413,33
38060,Male,39,38325,62
4601,Female,41,253533,95
47939,Male,47,50032,59
3995,Male,54,86666,29
5013,Male,40,151209,27
49891,Female,60,84195,57
24098,Male,48,106939,31
39461,Female,50,32322,93
3806,Male,37,76331,55
2836,Female,28,94211,23
11438,Male,40,30232,74
22720,Male,34,45287,17
10596,Male,27,177770,22
33067,Male,29,57677,53
32013,Male,28,74208,42
16653,Male,50,36637,76
44923,Male,26,120208,25
9093,Female,37,172809,20
24366,Female,38,67522,57
11152,Female,49,26683,15
6254,Male,33,58427,45
36304,Female,46,60696,51
7832,Female,47,135950,25
10344,Female,33,80090,40
20211,Male,25,153139,70
48348,Male,46,34304,80
49009,Male,18,49557,6
23110,Female,39,116581,73
19949,Female,30,89061,52
19475,Female,36,176856,28
25890,Male,21,47289,75
829,Female,25,44924,50
46581,Female,29,36040,93
17343,Male,22,68776,45
33460,Female,18,33309,39
23509,Female,36,43512,97
16292,Male,37,145093,5
3843,Female,23,82491,41
34742,Male,31,44429,23
38536,Female,36,94521,71
14175,Female,40,32003,63
8848,Male,29,112025,78
15670,Female,34,16627,78
11903,Female,47,82784,40
10416,Female,33,46254,61
39728,Female,38,49172,41
14229,Male,31,69954,44
48304,Female,23,76554,55
40984,Male,18,48744,64
31819,Female,21,268058,84
24527,Female,45,152188,19
39889,Female,29,153181,17
22570,Male,18,40077,26
43951,Male,30,40032,25
36575,Female,18,34426,64
42080,Male,45,82195,44
6349,Female,37,39862,94
2792,Female,42,75487,54
3939,Female,39,29922,38
21431,Male,34,68924,43
8686,Female,34,23516,85
28412,Male,28,134380,84
42163,Female,19,57831,44
5932,Female,42,26448,19
23742,Male,31,66520,49
46107,Male,42,152729,79
44510,Female,19,137773,6
47045,Female,40,20993,35
15746,Male,34,79461,50
42881,Male,24,119557,33
46241,Male,37,59090,52
38517,Female,26,23880,77
7852,Female,19,163936,26
29263,Male,18,120100,77
12443,Female,51,17842,7
15932,Female,34,52157,40
30142,Male,27,55580,98
9529,Female,45,45401,37
3471,Male,55,182286,93
14161,Female,41,27468,61
37619,Female,41,25968,63
4918,Male,52,196397,81
48177,Male,23,55384,57
35323,Male,27,21607,69
41257,Female,18,76251,47
44121,Male,40,79970,42
38245,Male,41,80160,59
30584,Male,53,123336,87
25343,Male,29,123563,5
30805,Female,50,44237,48
16482,Male,39,90340,96
43016,Male,41,37793,91
18140,Female,62,45342,45
46115,Female,49,25965,39
1874,Male,32,27233,38
33228,Female,54,61382,58
17235,Female,21,55950,41
8443,Male,25,32475,85
35042,Male,41,16394,69
40427,Female,35,27362,89
11186,Female,27,183105,13
22512,Female,61,83531,50
8679,Female,24,166642,31
31721,Male,35,170362,32
10379,Male,21,39846,66
35888,Male,37,22354,83
35512,Female,37,270865,78
9733,Female,26,90923,45
13436,Female,38,83157,48
20726,Female,37,174441,97
33108,Female,38,56702,57
9925,Female,39,34372,83
33006,Female,20,67629,42
32545,Female,29,138091,8
39084,Male,42,189140,77
38954,Male,38,125244,29
48867,Female,29,171809,95
13498,Female,18,143196,81
31566,Female,39,102081,31
26652,Male,39,266578,78
37441,Female,52,15000,27
43327,Male,29,32377,17
37980,Female,29,47472,35
1806,Female,37,175918,18
31570,Male,35,48050,63
26564,Female,18,141443,26
13491,Female,18,66744,41
6376,Male,33,81314,49
17271,Female,18,173066,32
4350,Female,45,46444,33
4249,Female,18,57276,46
7804,Female,18,196525,86
32843,Male,52,228663,84
28516,Male,18,138267,96
48298,Male,47,169684,31
27814,Female,36,29420,71
43419,Female,64,28348,67
28347,Female,31,112466,97
25353,Male,27,43630,98
18702,Female,27,85132,53
25406,Female,27,182939,29
42445,Male,40,87741,57
34705,Female,57,39110,67
48746,Female,45,70564,57
1263,Female,31,57685,54
2244,Male,46,198315,96
28167,Male,48,250785,73
10468,Male,32,75736,56
31705,Female,29,47881,47
22376,Male,32,121971,13
17793,Female,43,114526,23
1746,Male,39,72788,50
21810,Male,27,39149,14
20961,Female,18,142873,90
23811,Female,41,69353,50
17314,Male,27,82303,57
7396,Male,38,167172,14
4010,Male,26,32482,86
42235,Female,56,17683,96
41458,Male,42,50037,60
38927,Female,43,86529,46
15172,Female,32,37710,21
15101,Female,28,63886,42
8121,Female,49,93673,42
27048,Female,49,204376,73
10041,Male,22,77866,52
9181,Female,26,25317,75
38527,Male,20,34433,87
17699,Female,21,66920,46
18530,Female,34,146835,21
37365,Female,39,58653,44
16264,Male,41,16913,72
48704,Female,18,61817,40
9939,Male,27,33853,17
9421,Female,27,77658,49
40200,Male,57,146767,91
44687,Female,29,20417,68
26808,Female,42,53347,60
39744,Female,22,75389,40
46753,Female,38,44779,7
44537,Male,28,79722,44
43614,Male,23,59221,56
37467,Male,23,220543,81
20370,Female,38,148252,15
10830,Female,24,75334,49
39747,Male,37,23653,11
2582,Female,32,40928,98
25605,Female,20,41254,38
23733,Male,18,136294,84
40419,Female,44,35787,80
25266,Male,45,91924,47
39760,Male,24,48640,48
36801,Male,18,73387,58
11830,Female,44,193212,84
48631,Male,23,55503,79
4267,Female,43,96698,5
4459,Female,34,48806,26
2877,Male,31,59758,40
33412,Male,34,164961,79
37569,Male,39,44682,14
7807,Male,18,176512,21
33579,Male,43,31798,81
14504,Female,30,60972,45
510,Male,30,42267,25
26941,Male,33,86836,53
34357,Male,33,27340,35
31081,Male,43,274034,90
48502,Female,33,139164,21
48102,Male,40,27809,31
4250,Female,47,86365,50
6375,Female,41,34301,11
28065,Male,39,78784,58
15647,Male,25,50092,48
16934,Female,34,28219,35
12142,Female,35,54513,47
23558,Male,48,49086,50
23613,Female,34,62196,48
22043,Female,36,110040,26
616,Female,18,81098,42
43112,Male,42,120842,78
23341,Female,18,35876,78
45556,Male,23,16278,92
24906,Male,27,54389,44
32785,Female,44,85002,49
11023,Female,22,132457,12
21388,Male,27,71431,46
37801,Male,40,271678,82
15865,Female,28,212305,77
9944,Male,23,28856,82
41949,Male,36,55945,54
23999,Female,60,62782,53
46737,Female,25,29720,62
10675,Female,23,55643,44
25775,Female,61,65574,42
10922,Male,30,69377,57
3062,Male,44,70798,50
28987,Female,22,58263,48
29789,Female,48,109232,8
30351,Female,18,29853,86
46084,Female,19,64204,52
11072,Male,34,47819,58
43328,Female,31,145669,19
24636,Male,35,34359,95
7370,Female,30,36576,16
35046,Male,25,33094,74
23449,Male,38,23354,27
5510,Male,22,74103,40
17569,Female,25,87540,41
31854,Female,21,76965,53
33946,Male,34,77148,53
35020,Male,30,68225,58
10801,Male,41,136339,26
36765,Male,51,30113,11
19410,Male,60,146294,29
35406,Male,20,57302,17
19606,Male,35,81585,49
5407,Female,24,70152,45
26779,Female,23,41713,54
13888,Female,28,63547,41
38184,Female,46,33444,69
33987,Female,26,164345,72
42711,Male,35,160546,32
6333,Male,50,37201,17
37430,Female,57,85579,45
33259,Female,64,126488,30
36988,Male,48,120783,94
36702,Male,46,61557,41
16054,Male,19,52566,49
17433,Female,40,62447,48
2990,Male,20,76886,45
19928,Male,18,98012,23
47152,Male,42,185144,79
7715,Male,29,78109,41
4211,Female,45,78313,41
46666,Female,18,100893,32
22559,Male,26,22957,23
45509,Male,32,28918,37
36578,Female,28,116161,72
2250,Female,49,257883,95
19658,Female,28,98255,10
34300,Male,18,72086,46
47157,Male,33,27662,72
25923,Male,29,234884,70
33925,Female,45,132088,91
48484,Male,40,46308,48
47700,Male,27,43013,67
10530,Male,47,47169,23
838,Female,18,82478,52
1900,Male,18,32391,20
43543,Male,18,101714,82
46885,Female,20,67886,47
18285,Female,30,25776,23
7922,Female,18,72961,50
39856,Male,18,21494,28
2300,Male,39,145635,11
39452,Male,18,44176,91
49789,Female,32,245677,75
6032,Female,23,68340,51
39425,Male,18,239319,80
9562,Female,47,72516,44
13972,Female,33,54488,13
15953,Female,20,51844,54
11590,Male,34,62924,46
34586,Male,45,35038,15
7046,Male,52,42284,92
28978,Female,34,66487,59
31830,Male,22,72059,51
10686,Male,36,54790,46
16296,Female,38,105473,11
34016,Male,24,28378,76
12243,Female,26,55539,53
11900,Male,38,64943,58
16289,Female,52,148572,8
5698,Female,29,91019,42
25316,Female,18,71979,45
43571,Female,41,157426,74
117,Female,47,291468,92
19815,Male,18,63489,56
25248,Male,39,65510,44
41169,Male,49,51419,51
26290,Male,25,69441,59
39790,Male,36,84869,50
47253,Male,22,57096,43
48953,Male,34,55343,58
38139,Female,35,39610,64
8839,Male,43,59778,51
14294,Male,40,51156,56
30523,Male,40,270077,92
32790,Male,47,107716,34
42406,Female,51,79973,59
41350,Male,27,75734,42
12626,Male,43,41569,36
31009,Male,53,40273,37
49770,Female,46,62253,40
43350,Female,51,110077,18
12219,Female,43,37353,31
24487,Female,33,149652,81
49907,Female,22,162129,80
3204,Female,48,67401,49
46902,Female,58,57425,54
34836,Male,43,78439,46
39413,Male,47,69568,45
29132,Male,33,90324,47
41745,Female,37,61837,49
22445,Male,46,51095,48
41834,Female,35,27487,8
49636,Male,32,71261,51
45357,Female,38,74995,54
25027,Female,20,30071,8
31735,Female,48,75822,43
18396,Male,39,62080,52
7016,Female,18,28652,80
5499,Male,22,86356,10
24627,Male,33,176560,15
31101,Male,23,43658,19
24178,Female,33,64224,48
3508,Female,23,226099,78
7979,Male,33,81594,47
40681,Male,38,57417,40
28756,Female,36,136742,24
8084,Female,29,27939,11
6611,Male,61,43215,78
10105,Male,40,58036,46
1787,Male,42,242608,85
12922,Male,50,134882,85
17985,Female,31,68622,55
2983,Female,27,114585,83
20423,Male,37,228692,74
49599,Male,25,115289,84
31138,Male,46,79959,55
9271,Male,28,70840,46
8011,Male,21,50820,26
32667,Male,37,122510,10
29423,Female,65,83279,57
26006,Male,34,27866,65
201,Female,26,89360,40
1632,Female,36,72819,52
40578,Male,43,40749,87
18936,Female,18,184796,90
24597,Female,37,84423,53
42227,Female,29,43320,34
43152,Female,45,210256,72
20198,Male,31,64509,52
21162,Male,57,35379,95
16579,Female,41,63739,59
35577,Male,32,72898,54
36415,Male,44,88318,52
8560,Male,56,36166,12
40226,Male,39,42172,45
30184,Male,33,138164,93
26678,Male,32,158216,16
42924,Female,39,72429,56
42833,Female,20,50860,61
9956,Male,24,73920,59
39636,Male,32,161959,20
39872,Male,39,68175,49
9661,Male,49,78147,47
44390,Female,38,76237,47
33158,Male,18,79923,44
13807,Female,30,43157,39
29093,Female,21,69158,44
2695,Male,18,237770,88
45636,Female,25,158517,22
191,Female,51,85436,58
29558,Male,46,80505,45
2450,Female,26,54456,50
40510,Male,31,56781,55
32875,Female,23,33354,14
25861,Female,37,49810,50
33231,Male,22,54537,48
41742,Female,23,59698,48
18073,Male,63,60532,55
48667,Female,18,153061,23
30552,Female,37,37029,11
46842,Female,18,98510,13
29813,Male,33,71681,57
23714,Male,42,69405,54
31645,Male,23,47761,84
49071,Female,43,81059,59
28901,Male,30,31733,71
49132,Male,33,63439,44
37864,Female,48,37909,9
38193,Male,39,33525,31
47036,Female,32,102296,23
13493,Female,31,220464,76
1299,Female,19,173079,27
35002,Female,46,59908,58
24389,Male,32,84840,59
48273,Male,41,58511,14
9380,Male,28,124498,21
47940,Female,18,23122,80
32069,Male,32,72013,52
30786,Male,24,73810,44
47277,Female,33,121508,32
48886,Female,34,155285,20
32522,Female,30,121224,27
6015,Male,19,218287,94
26849,Female,57,51474,42
32831,Female,39,142665,34
31055,Female,50,16326,21
32193,Female,27,51531,87
11414,Female,44,70938,53
9800,Female,28,71163,48
12400,Male,25,54694,53
12081,Male,36,162893,23
21561,Female,22,22330,10
45920,Female,41,119625,13
21510,Female,41,81318,53
6967,Male,22,112646,71
41684,Female,26,157746,19
8695,Male,24,77663,54
21892,Female,20,127418,85
22080,Male,18,117779,13
41340,Male,58,24938,28
2201,Female,28,41655,7
32555,Female,25,71349,48
5449,Male,24,55149,45
43585,Female,18,119045,29
21102,Male,38,120492,15
49310,Male,19,109705,23
12727,Female,23,82625,59
17797,Female,38,59833,41
22343,Male,43,58972,49
39466,Female,42,21920,34
22942,Male,39,79064,44
3051,Male,45,187496,26
38123,Female,22,29735,86
3674,Male,31,70287,58
39129,Female,38,116677,8
27503,Male,21,45647,94
24328,Male,53,43078,87
14168,Male,41,18531,86
34195,Female,38,36230,12
38918,Female,25,170062,9
11258,Female,61,183995,31
38993,Male,49,61981,55
24111,Female,29,109776,28
3740,Male,46,30168,73
8773,Female,33,63644,42
36516,Male,48,32701,67
20709,Male,19,73972,55
5114,Male,18,67634,53
847,Male,59,148548,15
40137,Female,49,43020,32
14220,Male,32,66474,55
14753,Female,37,112755,17
36946,Female,18,83397,57
23657,Female,57,95663,41
47199,Female,28,29634,34
13072,Female,60,76561,55
19156,Male,28,27911,98
35327,Female,36,36777,33
28267,Male,45,158656,9
42558,Female,48,26497,75
33981,Female,44,139830,17
1907,Female,46,49244,12
2640,Male,30,54252,51
20041,Male,50,249731,88
41840,Female,34,39463,18
2238,Female,47,62718,43
17199,Female,28,81886,45
7380,Female,35,15000,81
18911,Male,32,126223,30
44627,Female,27,68185,52
681,Male,53,69737,55
24812,Female,41,74587,42
11311,Male,22,32064,91
22808,Female,29,62576,49
29770,Male,21,188358,84
23438,Female,21,29062,16
16392,Male,26,154705,18
49375,Male,25,41795,95
12078,Male,36,145336,6
22670,Male,34,75801,40
25245,Male,49,54507,42
49566,Female,33,183596,12
1237,Female,45,46993,61
4369,Male,66,29279,15
32119,Male,22,47248,56
16354,Female,43,170905,24
8075,Male,25,53363,11
30483,Male,54,34149,75
2276,Female,29,167972,10
31978,Female,48,31536,34
42866,Male,25,113948,11
48611,Female,25,142176,21
28370,Female,29,23143,29
31549,Male,46,69833,40
42884,Male,45,63210,59
24715,Male,53,41173,83
28003,Female,52,161046,5
16911,Male,31,89134,49
5198,Male,22,48508,44
45400,Male,35,144267,22
3748,Male,20,43846,90
49882,Male,27,71497,43
43997,Male,39,79833,40
49716,Male,33,39178,33
46062,Male,32,45958,24
45814,Male,38,111945,90
1094,Female,28,29419,81
650,Female,38,25140,72
7866,Female,44,231291,78
21409,Male,42,163127,33
